Country,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
,La Maddalena,-0.67926897057916,0,0.0,0,-0.1547111106723212,0,0.8086652979455711,0,-0.3832623239133666,0
Brazil,Lagoa Da Prata,0.03493517217747662,0,0.0,0,-2.3950535041007073,0,1.3806020889326085,0,0.20372589502480065,0
United States of America,North Platte,0.554356366909576,1,0.0,0,-0.3270451409360432,0,0.23672850695853362,0,0.6306264178889223,1
United Kingdom of Great Britain and Northern Ireland,Newry,-1.2636178146527717,0,0.0,0,-0.1547111106723212,0,-0.33520828402850383,0,-1.6639638925057316,0
United States of America,Niagara Falls,-0.48448602255462275,0,0.0,0,-0.3270451409360432,0,1.952538879919646,0,-0.22317462783932102,0
United Republic of Tanzania,Mhango,-1.9778219574094085,0,0.0,0,-1.2748823073865143,0,-0.9071450750155413,0,-1.4505136310736708,0
Mali,Mopti,3.021607041887048,1,0.0,0,-1.2748823073865143,0,-0.33520828402850383,0,2.6584039014935,1
Germany,Saarwellingen,1.0088499123001629,1,0.0,0,1.9132972524923428,1,-0.9071450750155413,0,1.0041643753950287,1
France,Saint Laurent Du Var,0.554356366909576,1,0.0,0,2.257965313019787,1,-0.33520828402850383,0,-0.1164494971232906,0
Peru,Mala,-0.3546307238715979,0,0.0,0,-1.1025482771227924,0,-0.33520828402850383,0,-0.1164494971232906,0
Equatorial Guinea,Malabo,-1.1337625159697469,0,0.0,0,-0.8440472317272092,0,-0.9071450750155413,0,-0.7568002814194731,0
India,Malpe,0.7491393149341132,1,0.0,0,-1.0163812619909312,0,-0.33520828402850383,0,0.790714113962968,1
Brazil,Conchal,0.8140669642756256,1,0.0,0,-0.6717132014634872,0,-0.33520828402850383,0,0.8440766793209832,1
Brazil,Cunha,-0.7441966199206724,0,0.0,0,-0.7578802165953482,0,-0.9071450750155413,0,-0.4366248892713818,0
France,Ploufragan,-0.09492012650554822,0,0.0,0,0.4484579952507058,0,0.23672850695853362,0,0.09700076430877023,0
Russian Federation,Primorsko Akhtarsk,-0.4195583732131103,0,0.0,0,0.9654600860418718,0,-0.9071450750155413,0,-1.9841392846538228,0
Afghanistan,Qarqin,1.0088499123001629,1,0.0,0,1.482462176833038,0,-0.9071450750155413,0,1.0041643753950287,1
Italy,San Severino Marche,1.3984158083492375,1,0.0,0,1.568629191964899,0,-0.9071450750155413,0,1.32433976754312,1
